"","bag_ID","rhodo_acer","DM_start_g","DM_end_g","tin_g","tin_DM_g","tin_ash_g","date_dep","date_coll","stream","QC","hole","notes","unique.id","DM_start_handloss_g","afdm_start","prop_sample_afdm","afdm_final","percent_afdm_rem_C","bag_n"
"72","C0072","A",4.96,2,2.0256,3.6568,2.1687,2017-09-21,2017-11-15,"WS36","","","","C0072/A/2017-09-21/2017-11-15/WS36",4.6075,4.38874882090807,0.91227317312408,1.82454634624816,41.5732688450064,"0072"
"73","C0073","A",5.08,2.47,3.6255,5.0729,3.7923,2017-09-21,2017-11-15,"WS36","","","","C0073/A/2017-09-21/2017-11-15/WS36",4.7275,4.50305155742657,0.884758877988117,2.18535442863065,48.5305220418029,"0073"
"74","C0074","A",5.08,1.89,2.0524,3.5651,2.2633,2017-09-21,2017-11-15,"WS06","","","","C0074/A/2017-09-21/2017-11-15/WS06",4.7275,4.50305155742657,0.860580419118133,1.62649699213327,36.1198838474502,"0074"
"75","C0075","A",5.1,2.53,2.0572,3.6134,2.3414,2017-09-21,2017-11-15,"WS06","","","","C0075/A/2017-09-21/2017-11-15/WS06",4.7475,4.52210201351298,0.8173756586557,2.06796041639892,45.7300700032733,"0075"
"76","C0076","A",4.93,2.53,2.0219,3.7248,2.2295,2017-09-21,2017-11-15,"WS06","","","","C0076/A/2017-09-21/2017-11-15/WS06",4.5775,4.36017313677845,0.87809031651888,2.22156850079277,50.9513826883074,"0076"
"77","C0077","A",5.01,2.16,1.7616,3.0415,1.9123,2017-09-21,2017-11-15,"WS27","","","","C0077/A/2017-09-21/2017-11-15/WS27",4.6575,4.43637496112411,0.882256426283303,1.90567388077194,42.9556540524939,"0077"
"78","C0078","A",4.93,2.35,1.7553,2.9494,1.8657,2017-09-21,2017-11-15,"WS27","","","","C0078/A/2017-09-21/2017-11-15/WS27",4.5775,4.36017313677845,0.907545431705887,2.13273176450884,48.9139237733257,"0078"
"79","C0079","A",4.97,2.23,3.6279,5.156,3.7774,2017-09-21,2017-11-15,"WS27","","","","C0079/A/2017-09-21/2017-11-15/WS27",4.6175,4.39827404895128,0.902166088606766,2.01183037759309,45.7413602518194,"0079"
"80","C0080","A",5.06,2.24,2.0842,3.4863,2.2801,2017-09-21,2017-11-15,"WS27","","","","C0080/A/2017-09-21/2017-11-15/WS27",4.7075,4.48400110134015,0.860281007060837,1.92702945581628,42.9756686553966,"0080"
"81","C0081","R",5.08,4.05,2.0687,5.7912,2.261,2017-09-21,2017-11-15,"WS14","","","","C0081/R/2017-09-21/2017-11-15/WS14",5.02375,4.80112525452804,0.94834116856951,3.84078173270651,79.9975324343849,"0081"
"82","C0082","R",5.07,3.85,1.7529,4.4285,1.9576,2017-09-21,2017-11-15,"WS14","","","","C0082/R/2017-09-21/2017-11-15/WS14",5.01375,4.79156839908236,0.923493795784123,3.55545111376887,74.2022406369027,"0082"
"83","C0083","R",5.03,4.06,2.0751,5.8969,2.2918,2017-09-21,2017-11-15,"WS14","","","","C0083/R/2017-09-21/2017-11-15/WS14",4.97375,4.7533409772996,0.943298969072165,3.82979381443299,80.5705677905884,"0083"
