bag_ID,rhodo_acer,DM_start_g,DM_end_g,tin_g,tin_DM_g,tin_ash_g,date_dep,date_coll,stream,QC,hole,notes
F0189,A,1.44,0.9155,1.7414,2.6569,1.8133,1/11/18,3/8/18,WS32,,,
F0190,A,1.52,0.9755,1.9806,2.9561,2.0629,1/11/18,3/8/18,WS32,,,
F0191,A,1.57,0.9646,1.7694,2.734,1.8723,1/11/18,3/8/18,WS32,,,
F0192,A,1.53,1.1118,3.5524,4.6642,3.7908,1/11/18,3/8/18,WS32,,,
F0193,R,1.55,1.2591,3.5429,4.802,3.6321,2/8/18,4/6/18,WS06,,,
F0194,R,1.41,1.1736,3.54,4.7136,3.6401,2/8/18,4/6/18,WS06,,,
F0195,R,1.53,1.3178,3.5507,4.8685,3.656,2/8/18,4/6/18,WS06,,,
F0196,R,1.44,1.1929,3.6839,4.8768,3.7591,2/8/18,4/6/18,WS06,,,
F0197,R,1.41,1.1648,3.6068,4.7716,3.7131,2/8/18,4/6/18,WS14,,,
F0198,R,1.42,1.2273,3.6591,4.8864,3.7318,2/8/18,4/6/18,WS14,,,
F0199,R,1.4,1.1883,3.5615,4.7498,3.6368,2/8/18,4/6/18,WS14,,,
F0200,R,1.52,1.2675,3.6409,4.9084,3.7167,2/8/18,4/6/18,WS14,,,
F0201,R,1.54,1.2889,3.5121,4.801,3.6298,2/8/18,4/6/18,WS01,,,
F0202,R,1.46,1.2001,3.5543,4.7544,3.6452,2/8/18,4/6/18,WS01,,,
F0203,R,1.54,1.2374,3.6264,4.8638,3.7214,2/8/18,4/6/18,WS01,,,
F0204,R,1.45,1.2644,3.6417,4.9061,3.7465,2/8/18,4/6/18,WS01,,,
F0205,R,1.44,1.2,3.6368,4.8368,3.748,2/8/18,4/6/18,WS18,,,
F0206,R,1.56,1.3305,3.62,4.9505,3.724,2/8/18,4/6/18,WS18,,,
F0207,R,1.51,1.3174,3.6509,4.9683,3.7765,2/8/18,4/6/18,WS18,,,
F0208,R,1.46,1.2251,3.6449,4.87,3.7238,2/8/18,4/6/18,WS18,,,
F0209,R,1.47,1.1844,3.5165,4.7009,3.5791,2/8/18,4/6/18,WS36,,,
