sample type,analyte,sample.day,sample.month,sample.year,sample.date,stream,stream.location,original.concentration.ugL,analysis.lab,convert.concentration.ugl
nutrients,NH4,19,6,2018,6/19/18,towr,upstream,8.3,ESL,8.3
nutrients,NH4,19,6,2018,6/19/18,towr,seep,4.6,ESL,4.6
nutrients,NH4,19,6,2018,6/19/18,towr,flume,5.8,ESL,5.8
nutrients,NH4,19,6,2018,6/19/18,ws55,seep,10.9,ESL,10.9
nutrients,NO3,19,6,2018,6/19/18,ws55,flume,5.2,ESL,5.2
nutrients,NO3,19,6,2018,6/19/18,towr,upstream,5.9,ESL,5.9
nutrients,NO3,19,6,2018,6/19/18,towr,seep,5.4,ESL,5.4
nutrients,NO3,19,6,2018,6/19/18,towr,flume,4.6,ESL,4.6
nutrients,NO3,19,6,2018,6/19/18,ws55,seep,10.9,ESL,10.9
nutrients,SRP,19,6,2018,6/19/18,ws55,flume,12.4,ESL,12.4
nutrients,SRP,19,6,2018,6/19/18,towr,upstream,13.7,ESL,13.7
nutrients,SRP,19,6,2018,6/19/18,towr,seep,13.4,ESL,13.4
nutrients,SRP,19,6,2018,6/19/18,towr,flume,13.9,ESL,13.9
nutrients,SRP,19,6,2018,6/19/18,ws55,seep,14,ESL,14
nutrients,NH4,28,6,2018,6/28/18,towr,flume,17.7,ESL,17.7
nutrients,NH4,28,6,2018,6/28/18,ws55,seep,20,ESL,20
nutrients,NH4,28,6,2018,6/28/18,ws55,flume,11.5,ESL,11.5
nutrients,NH4,28,6,2018,6/28/18,towr,upstream,7.6,ESL,7.6
nutrients,NH4,28,6,2018,6/28/18,towr,seep,4.1,ESL,4.1
nutrients,NO3,28,6,2018,6/28/18,towr,flume,5.2,ESL,5.2
nutrients,NO3,28,6,2018,6/28/18,ws55,seep,2.9,ESL,2.9
nutrients,NO3,28,6,2018,6/28/18,ws55,flume,4.9,ESL,4.9
nutrients,NO3,28,6,2018,6/28/18,towr,upstream,4.6,ESL,4.6
nutrients,NO3,28,6,2018,6/28/18,towr,seep,19.9,ESL,19.9
nutrients,SRP,28,6,2018,6/28/18,towr,flume,7.6,ESL,7.6
nutrients,SRP,28,6,2018,6/28/18,ws55,seep,8.6,ESL,8.6
nutrients,SRP,28,6,2018,6/28/18,ws55,flume,10.6,ESL,10.6
nutrients,SRP,28,6,2018,6/28/18,towr,upstream,10.1,ESL,10.1
nutrients,SRP,28,6,2018,6/28/18,towr,seep,13.1,ESL,13.1
nutrients,NH4,3,7,2018,7/3/18,towr,flume,8.6,ESL,8.6
nutrients,NH4,3,7,2018,7/3/18,ws55,seep,3.1,ESL,3.1
nutrients,NH4,3,7,2018,7/3/18,ws55,flume,10.9,ESL,10.9
nutrients,NH4,3,7,2018,7/3/18,towr,upstream,7.7,ESL,7.7
nutrients,NO3,3,7,2018,7/3/18,towr,flume,4.5,ESL,4.5
nutrients,NO3,3,7,2018,7/3/18,ws55,seep,4.7,ESL,4.7
nutrients,NO3,3,7,2018,7/3/18,ws55,flume,5.8,ESL,5.8
nutrients,NO3,3,7,2018,7/3/18,towr,upstream,6.3,ESL,6.3
nutrients,SRP,3,7,2018,7/3/18,towr,flume,11.9,ESL,11.9
nutrients,SRP,3,7,2018,7/3/18,ws55,seep,14.3,ESL,14.3
nutrients,SRP,3,7,2018,7/3/18,ws55,flume,14.2,ESL,14.2
nutrients,SRP,3,7,2018,7/3/18,towr,upstream,13.9,ESL,13.9
nutrients,NH4,16,7,2018,7/16/18,towr,seep,7.5,ESL,7.5
nutrients,NH4,16,7,2018,7/16/18,towr,upstream,6.1,ESL,6.1
nutrients,NH4,16,7,2018,7/16/18,towr,flume,0,ESL,0
nutrients,NH4,16,7,2018,7/16/18,ws55,seep,4,ESL,4
nutrients,NH4,16,7,2018,7/16/18,ws55,flume,8.7,ESL,8.7
nutrients,NO3,16,7,2018,7/16/18,towr,seep,10.35521267,ESL,10.36
nutrients,NO3,16,7,2018,7/16/18,towr,upstream,28.98221874,ESL,28.98
nutrients,NO3,16,7,2018,7/16/18,towr,flume,2.84665209,ESL,2.85
nutrients,NO3,16,7,2018,7/16/18,ws55,seep,0.08969842,ESL,0.09
nutrients,NO3,16,7,2018,7/16/18,ws55,flume,7.054746483,ESL,7.05
nutrients,SRP,16,7,2018,7/16/18,towr,seep,<1,ESL,1
nutrients,SRP,16,7,2018,7/16/18,towr,upstream,1.9,ESL,1.9
nutrients,SRP,16,7,2018,7/16/18,towr,flume,0.5,ESL,0.5
nutrients,SRP,16,7,2018,7/16/18,ws55,seep,<1,ESL,1
nutrients,SRP,16,7,2018,7/16/18,ws55,flume,0.2,ESL,0.2
nutrients,TN,16,7,2018,7/16/18,towr,seep,1990,ESL,1990
nutrients,TN,16,7,2018,7/16/18,towr,upstream,2110,ESL,2110
nutrients,TN,16,7,2018,7/16/18,towr,flume,1940,ESL,1940
nutrients,TN,16,7,2018,7/16/18,ws55,seep,2000,ESL,2000
nutrients,TN,16,7,2018,7/16/18,ws55,flume,1970,ESL,1970
nutrients,TP,16,7,2018,7/16/18,towr,seep,68.4,ESL,68.4
nutrients,TP,16,7,2018,7/16/18,towr,upstream,54.3,ESL,54.3
nutrients,TP,16,7,2018,7/16/18,towr,flume,45.5,ESL,45.5
nutrients,TP,16,7,2018,7/16/18,ws55,seep,45.1,ESL,45.1
nutrients,TP,16,7,2018,7/16/18,ws55,flume,43.4,ESL,43.4
nutrients,NH4,7,8,2018,8/7/18,towr,upstream,11.2,ESL,11.2
nutrients,NH4,7,8,2018,8/7/18,ws55,flume,10.5,ESL,10.5
nutrients,NH4,7,8,2018,8/7/18,towr,seep,11.5,ESL,11.5
nutrients,NH4,7,8,2018,8/7/18,towr,flume,10.1,ESL,10.1
nutrients,NH4,7,8,2018,8/7/18,ws55,seep,2.4,ESL,2.4
nutrients,NH4,7,8,2018,8/7/18,ws55,flume,2.8,ESL,2.8
nutrients,NH4,7,8,2018,8/7/18,towr,flume,3.2,ESL,3.2
nutrients,NH4,7,8,2018,8/7/18,towr,upstream,11.4,ESL,11.4
nutrients,NH4,7,8,2018,8/7/18,towr,seep,18.3,ESL,18.3
nutrients,NH4,7,8,2018,8/7/18,ws55,seep,11,ESL,11
nutrients,NO3,7,8,2018,8/7/18,towr,upstream,10.0870498,ESL,10.09
nutrients,NO3,7,8,2018,8/7/18,ws55,flume,1.959651801,ESL,1.96
nutrients,NO3,7,8,2018,8/7/18,towr,seep,6.580304468,ESL,6.58
nutrients,NO3,7,8,2018,8/7/18,towr,flume,21.74182103,ESL,21.74
nutrients,NO3,7,8,2018,8/7/18,ws55,seep,3.795536119,ESL,3.8
nutrients,NO3,7,8,2018,8/7/18,ws55,flume,3.6,ESL,3.6
nutrients,NO3,7,8,2018,8/7/18,towr,flume,5.2,ESL,5.2
nutrients,NO3,7,8,2018,8/7/18,towr,upstream,2.3,ESL,2.3
nutrients,NO3,7,8,2018,8/7/18,towr,seep,5,ESL,5
nutrients,NO3,7,8,2018,8/7/18,ws55,seep,4.5,ESL,4.5
nutrients,SRP,7,8,2018,8/7/18,towr,upstream,<1,ESL,1
nutrients,SRP,7,8,2018,8/7/18,ws55,flume,<1,ESL,1
nutrients,SRP,7,8,2018,8/7/18,towr,seep,<1,ESL,1
nutrients,SRP,7,8,2018,8/7/18,towr,flume,<1,ESL,1
nutrients,SRP,7,8,2018,8/7/18,ws55,seep,<1,ESL,1
nutrients,SRP,7,8,2018,8/7/18,ws55,flume,13.4,ESL,13.4
nutrients,SRP,7,8,2018,8/7/18,towr,flume,14.8,ESL,14.8
